"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6879","ENSMUSG00000111828",18.4856667695255,1.18966446507832,0.30910951722585,3.84868274440446,0.000118754688869959,0.000376237780088951
"6880","ENSMUSG00000051169",141.365019383702,0.651849785553639,0.169408437133119,3.847800006805,0.000119183283485178,0.000377540767481972
"6881","ENSMUSG00000043263",436.227873596387,-0.984541719945084,0.255909578467574,-3.84722496844655,0.000119463265311262,0.00037837267899922
"6882","ENSMUSG00000106426",2.59470655973647,3.668590179714,0.953654698149172,3.84687475124267,0.000119634087166173,0.000378858659648297
"6883","ENSMUSG00000018593",198043.319806932,-0.412617286192764,0.107297322941827,-3.84555061468281,0.000120282031511482,0.000380849939625806
"6884","ENSMUSG00000038181",2859.9784233632,0.206759291374233,0.0537662987292875,3.84551840578171,0.000120297833549787,0.000380849939625806
"6885","ENSMUSG00000029449",372.153680831122,0.619569669696476,0.161200900581402,3.84346283092638,0.00012131037943622,0.000383999768980826
"6886","ENSMUSG00000046731",867.647394771351,-0.279262186936951,0.0726663462731105,-3.84307456284326,0.000121502534546423,0.000384552169315241
"6887","ENSMUSG00000021809",2004.23671374505,0.285522751291679,0.0742966921262233,3.84300758379124,0.00012153571170012,0.000384601321445102
"6888","ENSMUSG00000047990",11.4713167514584,2.21530909574954,0.576645476989023,3.84171763093828,0.000122176340776844,0.000386572469641483
"6889","ENSMUSG00000052736",26.4035146324333,-2.0388245339039,0.530736138158993,-3.84150312616007,0.000122283178472151,0.000386854346294392
"6890","ENSMUSG00000030688",228.596679765066,0.923486767078931,0.240416789330808,3.84119083217701,0.000122438879187407,0.00038729070145288
"6891","ENSMUSG00000110301",9.7553854544084,-2.61032973507117,0.679572248149925,-3.84113645337572,0.000122466009977762,0.000387320304956516
"6892","ENSMUSG00000022799",4087.31850632767,-0.224137143417002,0.0583548979839365,-3.84093111564862,0.000122568508640957,0.000387588229442979
"6893","ENSMUSG00000043794",19.3899904965591,1.30804477097633,0.340583854722837,3.84059535658496,0.000122736284128715,0.00038806246573353
"6894","ENSMUSG00000086813",18.8251475502979,-1.30658805023335,0.340252701651674,-3.84005194930366,0.000123008278211677,0.000388866030656409
"6895","ENSMUSG00000009035",5843.10692285893,0.249535442474406,0.0649881911814962,3.83970438225483,0.00012318254535428,0.00038936046315463
"6896","ENSMUSG00000031505",2391.44964834618,0.181928678582735,0.0473843618079657,3.83942447763749,0.00012332305629535,0.000389748069736202
"6897","ENSMUSG00000005417",15759.1165371776,0.214173114596572,0.0557853969394229,3.83923260112574,0.000123419464771819,0.000389996203456143
"6898","ENSMUSG00000001105",1559.57941486733,0.198930083366799,0.0518182089627808,3.83899959779937,0.000123536632967753,0.000390309854870862
"6899","ENSMUSG00000037826",499.969835294357,0.349804234528441,0.0911270675846245,3.83864249997509,0.000123716406919575,0.000390821187477203
"6900","ENSMUSG00000094164",21.6422162423483,-3.58048059251413,0.933088786530386,-3.83723461711275,0.000124427583823998,0.000393010835052204
"6901","ENSMUSG00000034867",2600.93784387752,0.215767231727603,0.0562315168458363,3.83712273526513,0.000124484264719815,0.000393132888755782
"6902","ENSMUSG00000032705",1082.56855926471,-0.201131920400376,0.0524284199912379,-3.83631473986799,0.00012489432957307,0.000394370764809546
"6903","ENSMUSG00000023938",669.696568952221,0.280883876275451,0.0732182085480792,3.83625715304148,0.000124923603956033,0.000394406058904504
"6904","ENSMUSG00000076532",80.9228153106713,-2.53344704877137,0.66044142217286,-3.83599054165364,0.000125059220720924,0.000394777035977956
"6905","ENSMUSG00000086290",421.612527076296,0.35122027771475,0.0915915578015689,3.83463592218467,0.000125750419216015,0.000396901467978831
